,T_min,T_max
GROSS_LOAD,519.4070435,1003.9524539999999
AMBIENT_TEMPERATURE,16.7251606,35.62839508
SUCTION_STRAINER_DP,8.707864761,35.82071686
SUCTION_PRESSURE_1,0.84666574,1.368771315
SUCTION_TEMP_1,160.63673400000002,187.484787
DISCHARGE_PRESSURE,2.446507215,2.6712262630000003
PUMP_DELTA_PRESS_CV,1.25726676,1.6053372030000002
DISCHARGE_TEMP_1,160.6904755,187.484787
FLOW_1,858.5575562000001,1634.976807
FLOW_2,862.2566527999999,1636.866699
DISCHARGE_FLOW_COMMON,871.43573,1646.283691
MOTOR_CURRENT,67.50366211,94.03028107
MOTOR_OB_TEMP_1,31.23476028,60.99211502
MOTOR_IB_TEMP_1,46.19685364,68.66274261
MOTOR_STATOR_TEMP_1,58.8037529,93.09798431
MOTOR_STATOR_TEMP_2,56.40865707,89.94156647
MOTOR_STATOR_TEMP_3,55.15971756,87.99667358
PUMP_IB_TEMP_1,55.00364685,72.97554016
PUMP_OB_TEMP_1,67.01753998,74.30971527
PUMP_OB_TEMP_2,59.975914,68.14037323
IB_SEAL_DRAIN_TEMP,38.06031799,49.44147491
OB_SEAL_DRAIN_TEMP,36.53368378,49.467453000000006
